firsName;lastName;institution;inst;city;state;iso.country;country;center
Georgina;Adams;Imperial College London;Imperial College;London;;UK;UK;NCEAS
Timothy;Assal;USGS/Colorado State University;USGS;Fort Collins;Colorado;US;USA;NCEAS
Leah;Bremer;Stanford University;Stanford University;Stanford;California;US;USA;NCEAS
Julia;Buck;Sam Houston State University;Sam Houston State University;Huntsville;Texas;US;USA;NCEAS
Mary;Donovan;University of Hawaii;University of Hawaii;Honolulu;Hawaii;US;USA;NCEAS
Debora;Drucker;EMBRAPA;EMBRAPA-Empresa Brasileira de Pesquisa Agropecu˜ria;Sao Paulo; ;BR;Brazil;NCEAS
Vicken;Hillis;University of California, Davis;University of California, Davis;Davis;California;US;USA;NCEAS
Megan;Jennings;San Diego State University;San Diego State University;San Diego;California;US;USA;NCEAS
Suzanne;Langridge;University of California Santa Cruz;University of California Santa Cruz;Santa Cruz;California;US;USA;NCEAS
Sparkle;Malone;Rocky Mountain Research Station;Rocky Mountain Research Station;Fort Collins;Colorado;US;USA;NCEAS
Rachael;Orben;University of California Santa Cruz;University of California Santa Cruz;Santa Cruz;California;US;USA;NCEAS
Antonio Jes_s;P_rez Luque;University of Granada;University of Granada;Granada;;ES;Spain;NCEAS
Katherine;Renwick;Colorado State University;Colorado State University;Fort Collins;Colorado;US;USA;NCEAS
Annie;Schmidt;Point Blue Conservation Science;University of California, Davis;Davis;California;US;USA;NCEAS
Paul_;Selmants;University of Hawaii at Manoa;University of Hawaii;Honolulu;Hawaii;US;USA;NCEAS
Diego;Sotomayor;York University;York University;Toronto;;CA;Canada;NCEAS
Brian;Stock;Scripps Institution of Oceanography, UC San Diego;University of California San Diego;San Diego;California;US;USA;NCEAS
Lynn;Sweet;University of California, Santa Barbara;University of California, Santa Barbara;Santa Barbara;California;US;USA;NCEAS
Christopher;Trisos;South African Environmental Observation Network (SAEON);South African Environmental Observation Network;Cape Town;;ZA;South Africa;NCEAS
Mirela;Tulbure;University of New South Wales;University of New South Wales;Sydney;;AU;Australia;NCEAS
Sara;Varela;Charles University;Charles University;Prague;;CZ;Czech Republic;NCEAS
Lynn;Waterhouse;Scripps Institution for Oceanography, UC San Diego;University of California San Diego;San Diego;California;US;USA;NCEAS
Jennifer;Weaver;UC Berkeley;University of California Berkeley;Berkeley;California;US;USA;NCEAS
Annie;Adelson;Stanford University;Stanford University;Stanford;California;US;USA;RENCI
Olivia;Burge;University of Canterbury;University of Canterbury;Christchurch; ;NZ;New Zealand ;RENCI
Benjamin;Carr;Boston University;Boston University;Boston;Massachusetts;US;USA;RENCI
Tony;Chang;Montana State University;Montana State University;Bozeman;Montana;US;USA;RENCI
Jonathan;Duncan;University of North Carolina at Chapel Hill;University of North Carolina;Chapel Hill;North Carolina;US;USA;RENCI
Emma;Fuller;Princeton University;Priceton;Priceton;New Jersey;US;USA;RENCI
Tian;Gan;Utah State University;Utah State University;Logan;Utah;US;USA;RENCI
Kelly;Garbach;Loyola University Chicago;Loyola University Chicago;Chicago;Illinois;US;USA;RENCI
Edgar_;Gonzalez;Universidad Nacional Autonoma de Mexico;Universidad Nacional Autonoma de Mexico;Mexico City;;MX;Mexico;RENCI
Monica;Granados;McGill University_;McGill University_;Montreal;;CA;Canada;RENCI
Elizabeth;Kalies;University of Missouri/NC Museum of Natural Sciences;University of Missouri;Kansas City;Missouri;US;USA;RENCI
Ingrid;Knapp;University of Hawaii, Manoa;University of Hawaii;Manoa;Hawaii;US;USA;RENCI
Nina;Lany;Dartmouth College;Dartmouth College;Hanover;New Hampshire;US;USA;RENCI
Marissa;Lee;Duke University;Duke University;Durham;North Carolina;US;USA;RENCI
Silvia_;Lomascolo;Universidad Nacional de Tucuman;Universidad Nacional de Tucuman;Tucuman;;AR;Argentina;RENCI
John;Lovette;University of North Carolina at Chapel Hill;University of North Carolina;Chapel Hill;North Carolina;US;USA;RENCI
Vanessa;Michelou;University of Hawaii at Manoa;University of Hawaii;Honolulu;Hawaii;US;USA;RENCI
Pamela;Reynolds;University of California, Davis;University of California, Davis;Davis;California;US;USA;RENCI
Zahra;Samadi;University of South Carolina;University of South Carolina;Columbia;South Carolina;US;USA;RENCI
Kes;Schroer;Dartmouth;Dartmouth College;Hanover;New Hampshire;US;USA;RENCI
Michael;Treglia;Texas A&M University;Texas A&M University;College Station;Texas;US;USA;RENCI
Tyson;Wepprich;North Carolina State University;North Carolina State University;Raleigh;North Carolina;US;USA;RENCI
